0,1,2,3
Empire Restaurant,Lime Soda,₹47.62,
Imperial Restaurant,Mutton Pepper Dry,₹255,
Imperial Restaurant,Mutton Pepper Masala,₹265,
Imperial Restaurant,Brain Pepper Dry,₹245,
Imperial Restaurant,Mutton Onion Dry,₹260,
Imperial Restaurant,Chicken Manchurian,₹210,
Imperial Restaurant,Tandoori Platter,₹490,
Imperial Restaurant,Mutton Methi,₹265,
Imperial Restaurant,Prawns Manchurian,₹270,
Imperial Restaurant,Prawns Pepper Dry,₹270,
Imperial Restaurant,Mutton Rogan Josh,₹275,
Imperial Restaurant,Brain Chilli Fry,₹250,
Imperial Restaurant,Mutton Varaval,₹265,
Imperial Restaurant,Chicken Kabab,₹150,
Imperial Restaurant,Grilled Chicken,₹175,
Imperial Restaurant,Imperial Special Tandoori Chicken,₹195,
Imperial Restaurant,Chicken Fried Rice,₹160,
Imperial Restaurant,Chicken Lollipop,₹170,
Imperial Restaurant,Pepper Chicken Dry,₹175,
Imperial Restaurant,Vegetable Biryani,₹150,
Imperial Restaurant,Egg Fried Rice,₹155,
Imperial Restaurant,Special Shawarma Roll,₹140,
Imperial Restaurant,Butter Chicken Masala,₹205,
Imperial Restaurant,Chicken Tikka Masala,₹210,
Imperial Restaurant,Paneer Butter Masala,₹155,
Imperial Restaurant,Chicken Chilli Kabab,₹165,
Imperial Restaurant,Kadai Chicken,₹210,
Imperial Restaurant,Paneer Chilli,₹170,
Imperial Restaurant,Kalmi Kabab,₹145,
Imperial Restaurant,Chicken Noodles,₹165,
Imperial Restaurant,Boneless Pepper Chicken,₹220,
Imperial Restaurant,Shawarma Roll,₹80,
Imperial Restaurant,Imperial Kerala Paratha,₹35,
Imperial Restaurant,Chicken Tikka,₹225,
Imperial Restaurant,Boneless Chilli Chicken,₹220,
Imperial Restaurant,Chicken Hyderabadi,₹210,
Imperial Restaurant,Shawarma Roll,₹80,
Imperial Restaurant,Special Shawarma Roll,₹140,
Imperial Restaurant,Shawarma Plate,₹140,
Imperial Restaurant,Paneer Tikka,₹185,
Imperial Restaurant,Paneer Chilli,₹170,
Imperial Restaurant,Paneer Manchurian,₹170,
Imperial Restaurant,Gobi Manchurian,₹120,
Imperial Restaurant,Mushroom Chilli,₹170,
Imperial Restaurant,Baby Corn Manchurian,₹170,
Imperial Restaurant,Mushroom Pepper Dry,₹170,
Imperial Restaurant,Tandoori Gobi,₹175,
Imperial Restaurant,Chicken Kabab,₹150,
Imperial Restaurant,Chicken Kabab Wings,₹165,
Imperial Restaurant,Chicken Chilli Kabab,₹165,
Imperial Restaurant,Chicken Chilli Kabab Wings,₹170,
Imperial Restaurant,Grilled Chicken,₹175,
Imperial Restaurant,Chicken Lollipop,₹170,
Imperial Restaurant,Pepper Chicken Dry,₹175,
Imperial Restaurant,Chicken Onion Dry,₹180,
Imperial Restaurant,Boneless Chilli Chicken,₹220,
Imperial Restaurant,Chicken Manchurian,₹210,
